Solicitud de pedido;Descripción Material;Descripción Servicio;MES;Moneda;Texto Solicitud Pedido;Nombre área solicitante;Fecha Lib. Solped;Denominación GrpComp;Valor total Pedido
1300003163;PASAJES AEREOS FABIAN 26 Y 27 MARZO;PASAJES AEREOS;abril;COP; NOMBRE DEL PROFESOR: FABIAN GERARDO DIAZ GARZÓN EVENTO: seguimiento a las acciones con la decanatura de la Universidad del Cau;FACULTAD DE ADMINISTRACION;27/04/2026;VIAJES;1.669.672,00
1300003164;ALOJAMIENTO FABIAN 26 Y 27 MARZO;ALOJAMIENTO;abril;COP; NOMBRE DEL PROFESOR: FABIAN GERARDO DIAZ GARZÓN EVENTO: seguimiento a las acciones con la decanatura de la Universidad del Cau;FACULTAD DE ADMINISTRACION;30/04/2026;VIAJES;188.000,00
1000023419;30 DIAPOSITIVAS EDITABLES DE CANVA;INGRESOS TERCEROS;abril;COP; Diseño de 30 diapositivas editables de Canva a cargo de Jhon Sebastian Suarez Nuñez identificado con CC 1001277852 y número;RECTORÍA;08/04/2026;SERVICIOS PROFESIO;1.500.000,00
1000023499;BOLSA NORMAL DE TELA MERCHANDISING;;abril;COP; BOLSA  PARA VENTOS Impresión:   Screen    Tamaño final:   Ancho 30 alto 50 profundidad 14 cms.    Material :   Elaborada en K;POSGRADO;13/04/2026;PUBLIC – MATER POP;1.547.000,00
1000023494;INSTALACION ANCLAJE TANQUE FIBRA DE VIDR;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO SUMINISTRO E INSTALACION DE ANCLAJE DOBLE ARGOLLA TANQUE FIBRA DE VIDRIO, PROVEEDOR: SEINTEG, VALOR: $738.911, CASO: 7;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;SRV MTTO INFRAESTR;738.910,00
1000023495;SENNHEISER EW-D CI1 Wireless Instrument;;abril;COP; SOLICITUD PARA COMPRA DE  SENNHEISER  WIRELESS BODYPACK TRANSMITTER Y SENNHEISER HSP 2-EW-3. PROVEEDOR SR IMPORTADORES.;GESTIÓN COMERCIAL EVENTOS EXTERNOS;10/04/2026;ACTIVOS Y/O EQUIPO;11.090.000,00
1000023497;MAQUINA HURACAN;OTROS SERVICIOS;abril;COP; ALQUILER MAQUINA HURACAN EAN TRANSFORMA;EDUCACIÓN CONTINUADA COMERCIAL;08/04/2026;INSTITUCIONALES ;1.179.528,00
1000023498;IMPRESOS;IMPRESOS PUBLICACIONES;abril;COP; IMPRESOS EAN TRANSFORMA Dimensiones: 261 cm x 92 cm. Banner mate blackout, instalación con cinta doble faz por el contorno. De;EDUCACIÓN CONTINUADA COMERCIAL;01/06/2026;INSTITUCIONALES ;1.610.127,00
1000023504;MARKETING DIGITAL E IMPRESO;PROMOCION DIVULGACION;abril;COP; CONTENIDO MARKETING IMPRESO Y DIGITAL EL ESPECTADOR;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;13/04/2026;INSTITUCIONALES ;17.850.000,00
1000023496;"BRIDA FLEXIBLE CORTA 3"" COFLEX";;abril;COP; SUMINISTRO MATERIALES DE FERRETERIA PARA TALLER DE MANTENIMIENTO COT 2865, PROVEEDOR: FERRETERIA LA 73, VALOR: $2.518.599, CASO;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/04/2026;ELEM. FERRETERIA C;2.518.602,00
1000023503;HERRAMIENTAS Y ACCESORIOS;;abril;USD;" Proveedor Amazón BP: 1000254772 Compras: 1 30 Pack 8"" PSA Sanding DiscsSet - 5 Each of 80, 100, 120,180,240, 400 Grit - 8 Inch";UNIDAD DE DESARROLLO;08/04/2026;ELEM. FERRETERIA C;192,44
1000023473;Stickers Psicopedagogas;IMPRESOS PUBLICACIONES;abril;COP; STICKERS  Impresión: Digital Tamaño final: 5 x 5 cms. Papel : Vinilo adhesivo brillante Terminado: Medio corte  500 UNIDADES;PERMANENCIA ESTUDIANTIL;08/04/2026;IMPRESOS ;258.658,00
1000023474;MISTRAL REGRIFERIO;GASTOS DE REPRESENTACION;abril;COP; GASTO DE REPRESENTACION CONCILIACION DE TC;CONSULTORIA PRIVADA;08/04/2026;ALIMENTACION Y REF;214.039,00
1000023475;GASTO DE REPRESENTACION;GASTOS DE REPRESENTACION;abril;COP; GASTOS DE REPRESENTACION MISTRAL CONCILIACION TC;CONSULTORIA PRIVADA;09/04/2026;ALIMENTACION Y REF;1.135.532,00
1000023502;Refrig. Convocatoria de Investigación;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; Creación de Caso: 78038. Refrigerios para el lanzamiento de la convocatoria de Investigación 2026, que se llevará a cabo el;DIRECCIÓN DE INVESTIGACIONES;07/04/2026;ALIMENTACION Y REF;497.500,00
1000023487;PAPEL DE FILTRO CUALITATIVO;;abril;COP; COMPRA DE ELEMENTOS PARA LABORATORIO Proveedor: Innovalab BP: 1000012129;LABORATORIOS DE INGENIERÍA;08/04/2026;ELEM. LABORATORIO ;541.450,00
1000023488;HEXANO CONTROL;;abril;COP; COMPRA DE REACTIVO: HEXANO PROVEEDOR: AUROS QUÍMICOS BP: 1000011817;LABORATORIOS DE INGENIERÍA;13/04/2026;ELEM. LABORATORIO ;257.040,00
1000023493;RENOVACION FIRMA DIGITAL DR CARLOS JULIO;LICENCIAS Y SOFTWARE;abril;COP; FIRMA DIGITAL DR CARLOS JULIO Supervisor: Néstor Cantor Proveedor: Certicamara Forma de pago: Tarjeta de Crédito Valor de la;SEGURIDAD INFORMÁTICA;10/04/2026;LICENCIAS Y SUBSCR;353.902,00
1300003135;Viáticos del 07 al 09 de Abril del 2026;MANUTENCION;abril;COP; Viáticos correspondientes al período del 07 al 09 de abril de 2026, a nombre de Andrés Felipe Malagón López, Coordinador d;DIRECCIÓN DE INVESTIGACIONES;09/04/2026;VIAJES;540.000,00
1300003165;Alojamiento Sandra Ortega en Cartagena;ALOJAMIENTO;abril;COP; Pago por RESERVA DE ALOJAMIENTO para SANDRA CONSTANZA ORTEGA FERREIRA en el Hotel Bahía Azul Manga en Cartagena - Colombia, qu;GERENCIA DE INTERNACIONALIZACIÓN Y RELACIONES INSTITUCIONALES;13/04/2026;VIAJES;278.705,00
1000023471;CL 72 SUMINISTRO E INSTALACIÓN BRANDING;OTROS SERVICIOS;abril;COP; PROYECTO CALLE 72 CONTRATISTA KATODE OBJETO:SUMINISTRO E INSTALACIÓN: BRANDING - MAQUETA VALOR $ 3.378.280 CARGUE PROFESIONAL;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;07/04/2026;SERVICIOS PROFESIO;3.378.280,00
1000023472;INSTALACIONES ELECTRICAS;;abril;COP; PROYECTO CALLE 72 CONTRATISTA SIETE OBJETO: INSTALACIÓN PUNTO ELECTRICO REGULADO CONTROL AUTOMÁTICO PARA MAQUETA (DUCTERIA,CA;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;07/04/2026;SERVICIOS PROFESIO;1.012.919,00
1000023501;Conferencia Arte de servir;HONORARIOS ASESORIA TECNICA;abril;COP;" Capacitacion conferencia ""El arte de servir""} Valor:11.792.900 IVA INCLUIDO Plurum";EVALUACIÓN Y DESARROLLO INTEGRAL;14/04/2026;SERVICIOS PROFESIO;11.792.900,00
1000023505;Montaje, DJ, Meseros;MONTAJE PARA EVENTO;abril;COP; Evento día del profesor 2026 CECO: 10500112 BIENESTAR COLABORADORES VALOR TOTAL : $ 52.719.729 PROVEEEDOR COLSUBSIDIO FECHA DE;DISEÑO ORGANIZACIONAL Y GESTIÓN DEL CAMBIO;12/05/2026;SERVICIOS PROFESIO;52.719.729,00
1000023516;Boletas Filbo 2026;BOLETOS ACTIV CULTUR CIVICAS Y DEPORTIVA;abril;COP; Compra de 70 boletas entrada a la Filbo 2026 para las actividades academicas que realiza la Biblioteca.;BIBLIOTECA;08/04/2026;EVENTOS ;805.000,00
1000023511;TRANSPORTE;TRANSPORTE FLETES ACARREOS;abril;COP; Arreglo botarga (Meli)y lavado general proveedor:Maximus Poducciones;PROTOCOLO Y GESTIÓN DE EVENTOS INTERNOS;16/04/2026;TRANSPORTE ;1.582.700,00
1000023518;Taxi traslado;TAXIS BUSES;abril;COP; Papel para impresora Braille.;BIBLIOTECA;10/04/2026;TRANSPORTE ;1.710.000,00
1000023519;AUTO TAXI POSGRADO 2026 MARZO;TAXIS BUSES;abril;COP; SERVICIOS AUTOTAXI MES DE MARZO PARA PAGO EN ABRIL 2026 POR VALOR DE $ 2.092.600, EL ÁREA QUE UTILIZÓ EL SERVICIO FUE POSGRAD;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;14/04/2026;TRANSPORTE ;2.291.816,00
1000023513;PINES CON BROCHE;PROMOCION DIVULGACION;abril;COP; PIN QS STAR ESCUDOS PARA SOLAPA METALICOS QS, CON FONDO DORADO, GRABADOS CON LOGOTIPO Y TEXTO EN COLOR NEGRO. DE APRÓXIMADAMEN;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;09/04/2026;INSTITUCIONALES ;2.332.400,00
1000023542;ALQUILER SERVICIOS;ALQUILER STAND - CARPAS;abril;COP; ANTICIPO SERVICIOS DE ALQUILER  contratación del servicio de instalación monofásica, clave de acceso a red WIFI y servicio d;POSGRADO;13/04/2026;INSTITUCIONALES ;4.000.000,00
1000023508;SUMNEW Fingerprint CabinetLock, Smart;;abril;USD; Proveedor Amazón BP: 1000254772 Compras: 1- BBDINO Silicone Mold Making Kit, Mold Making Silicone 20A Translucent 4.4 lbs, Liq;UNIDAD DE DESARROLLO;13/05/2026;ELEM. FERRETERIA C;136,03
1000023514;"sisona 1/4"" Carbide RoughingEnd Mill -";;abril;USD; Proveedor Amazón BP: 1000254772 Compras: 1- YXPOLYER Flexible PLA Food- Grade 92A Soft PLA 3D Printer Filament 1.75mm 1KG for;UNIDAD DE DESARROLLO;13/05/2026;ELEM. FERRETERIA C;165,35
1000023541;MANTELERIA;;abril;COP; COMPRA DE MANTELERÍA PARA EVENTOS:  MANTEL SPANDEX RECTANGUAR DE 1.80 X 0.45 CANTIDAD 20 MANTEL SPANDEX CIRCULAR DE 1.50 CMS C;PROTOCOLO Y GESTIÓN DE EVENTOS INTERNOS;10/04/2026;MUEBLES Y ENSERES ;19.198.513,00
1000023476;GASTO DE REPRESENTACION;GASTOS DE REPRESENTACION;abril;COP; GASTO DE REPRESENTACION CONCLIACION TC;CONSULTORIA PRIVADA;14/04/2026;ALIMENTACION Y REF;34.417,00
1000023477;REFRIGERIOS TRADING COHORTE III;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; COTIZACIÓN REFRESHMENT -(+57) 3004895998 refreshment20@gmail.com Costo: und $14.500 bebida natural, componente y fruta entera,;EDUCACIÓN CONTINUADA PROYECTOS;17/04/2026;ALIMENTACION Y REF;14.310.000,00
1000023510;refrigerios VAF;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; solictud de refrigerios VAF marzo 2026;VICERRECTORÍA ADMINISTRATIVA Y FINANCIERA;10/04/2026;ASEO Y CAFETERIA ;523.375,00
1000023531;CASINO;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; EVENTO EAN TRANSFORMA CASINO GRUPO PROMO;EDUCACIÓN CONTINUADA COMERCIAL;09/04/2026;ALIMENTACION Y REF;2.735.600,00
1000023550;CENA GRUPO PROMO;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP;" ""Vigencia de la cotización: 15 días COTIZACIÓN GRUPO PROMO CENA FEORACLE Plazo de pago: 30 dias, luego de radicada la factur";FORMACIÓN A LA MEDIDA;27/04/2026;ALIMENTACION Y REF;2.297.235,00
1000023520;SABANAS DESECHABLE AJUSTABLE PARA C;;abril;COP; SOLICITUD DE CASOS Actividad:  Compra de sabanas para servicio médico y fisioterapia Descripción:  Compra de sábanas destina;BIENESTAR UNIVERSITARIO;09/04/2026;ELEM. LABORATORIO ;737.800,00
1000023515;Inscripción IPMA 2026.;INSCRIPCION EVENTOS NACIONAL - INTERNACI;abril;COP; Creación caso:78142 Apoyo pago inscripción al evento IPMA 2026 para estudiantes inscritos en semilleros de investigación. Va;DIRECCIÓN DE INVESTIGACIONES;09/04/2026;LICENCIAS Y SUBSCR;750.000,00
1000023530;Renovación suscripción ARMARC;SUSCRIPCION MEDIOS DE INFORMACION;abril;COP; Renovación suscripción anual de la herramienta ARMARC EN LINEA (dos licencias), con periodo de suscripción: del 31 de marzo;BIBLIOTECA;10/04/2026;LICENCIAS Y SUBSCR;2.041.000,00
1000023507;21 UNIDADES OI 25001203;SEGUROS  POLIZAS;abril;COP; Compra de Pólizas de seguro para programas de Educación Continua. Cantidad: 172 Valor total  $602.000;EDUCACIÓN CONTINUADA PROYECTOS;21/04/2026;SEGUROS;602.000,00
1000023512;Poliza comfandi 4014253 CERTIFICADO  172;CUMPLIMIENTO;abril;COP; POLIZA CUMPLIMIENTO NO. 4014253 CERTIFICADO  17223730 COMFANDI;DIRECCIÓN DE EXTENSIÓN COMERCIAL;16/04/2026;SEGUROS;11.082.975,00
1000023478;MAESTRO DE CEREMONIA DISTINCIONES;SERVICIOS PARA EVENTOS;abril;COP; SERVICIO DE MAESTRO DE CEREMONIAS PARA DISTINCIONES ABRIL 17 2026 PROVEEDOR: MAURICIO GIRAL PINEDA;PROTOCOLO Y GESTIÓN DE EVENTOS INTERNOS;09/04/2026;SERVICIOS PROFESIO;350.000,00
1000023506;Detalle GDT - Evento;OBSEQUIOS;abril;COP; Compra detalle gerencia de personas y cultura - Evento 16 de abril Valor: $596.785;EVALUACIÓN Y DESARROLLO INTEGRAL;13/04/2026;SERVICIOS PROFESIO;596.785,00
1000023521;Boletería para la Feria Internacional de;INSCRIPCION EVENTOS NACIONAL - INTERNACI;abril;COP; Asociación de Editoriales Universitarias de Colombia ASEUC NIT 800110170 BP:1000012320 Compras Boletería para la Feria Intern;PUBLICACIONES CIENTIFICAS Y DOCENTES;10/04/2026;EVENTOS ;1.150.000,00
1000023532;REVISION DE CORTO ILUMINACION SOT 2;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO DE REVISION DE CORTO EN ILUMINACION SOTANO 2, PROVEEDOR: SIETE+, VALOR: $392.020, CASO: 78169;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/04/2026;SRV MTTO INFRAESTR;392.020,00
1000023533;REUBICACION CIRCUITOS AUDITORIO FUN;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO DE REUBICACION CIRCUITO ELECTRICO AUDIOTRIO FUNDADORES, PROVEEDOR: SIETE+, VALOR: $829.026, CASO:78203;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;15/04/2026;SRV MTTO INFRAESTR;829.026,00
1000023534;SERV SOPORTE TECNIVO CCTV VIDEO EXPERT L;MANTENIMIENTO MAQUINARIA Y EQUIPO;abril;COP; SERVICIO DE SOPERTE TECNICO SISTEMMA CCTV LEGACY VIDEO EXPERT, PROVEEDOR: AMERICAM ALARM, VALOR: $1.487.500, CASO:78212;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/04/2026;SRV MTTO INFRAESTR;1.487.500,00
1000023535;CORRECTIVO FACHALETAS PISO 4 FUNDADORES;SERVICIO MANTO. CONSTRUCCIONES Y EDIFICA;abril;COP; SERVICIO DE MANTENIMIENTO CORRECTIVO FACHALETAS PISO 4 FUNDADORES, PROCESO DE COMPRAS CUADRO COMPARATIVO, CASO: 77836, PROVEEDO;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;13/04/2026;SRV MTTO INFRAESTR;6.470.695,00
1000023522;Pago parqueadero Foro CELAC;PARQUEADERO2;abril;COP; Pago de $22.000 con TARJETA DE CRÉDITO DE INTERNACIONALIZACIÓN a CITY PARKING SAS por concepto de parqueadero para participar;GERENCIA DE INTERNACIONALIZACIÓN Y RELACIONES INSTITUCIONALES;10/04/2026;TRANSPORTE ;22.000,00
1000023554;TRANSPORTE;TRANSPORTE FLETES ACARREOS;abril;COP;;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;09/04/2026;TRANSPORTE ;235.000,00
1000023551;STAND;ALQUILER STAND - CARPAS;abril;COP; BIZ FEST STAND;POSGRADO;16/04/2026;INSTITUCIONALES ;25.999.998,00
1000023560;TERMO NEGRO LOGO EAN;;abril;COP; Compra de Termos Blanco y Negro tipo Stanley y Termos color rosado, morado y azul - Logo Meli  Proveedor:BARACK Total de la SOL;TIENDA EAN;17/04/2026;TIENDA EAN;6.675.900,00
1000023546;Escarapelas evento 16 de abril;SERVICIOS AUROS;abril;COP; Escarapelas evento 16 de abril Valor: $760,410;EVALUACIÓN Y DESARROLLO INTEGRAL;23/04/2026;IMPRESOS ;760.410,00
1000023552;Refrigerios saludables relanzamiento Gym;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; SOLICITUD DE CASOS  Actividad:  Refrigerios saludables para relanzamiento Gym  Descripción:  Adquisición de 100 refrigerios s;BIENESTAR UNIVERSITARIO;10/04/2026;ALIMENTACION Y REF;1.250.000,00
1000023544;Conciliación TC 1226 PAUTA GOOGLE ADS;AVISOS Y PROPAGANDA;abril;COP; Conciliación TC 1226 PAUTA GOOGLE ADAS, que estuvo en préstamo de EanX.;EAN X PROYECTOS;15/04/2026;LICENCIAS Y SUBSCR;553.112,00
1000023540;Servicios CROP 2025;HONORARIOS ASESORIA TECNICA;abril;COP; Ultimo mes de CROP, no se finalizo el pago en 2025 por el valor aprobado y se debe pagar su ultima factura;PUBLICIDAD;10/04/2026;SERVICIOS PROFESIO;11.900.000,00
1000023543;SUSCRIPCIÓN ELEVENLABS;TRAMITES LICENCIAS;abril;USD;;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;16/04/2026;SERVICIOS PROFESIO;242
1000023545;APOYO LOGISTICO;SERVICIOS PARA EVENTOS;abril;COP; SOLICITUD DE SERVICIO DE PERSONAL LOGISTICO Y BRIGADISTAS PARA ZCARATE. PROVEEDOR ADVANTAGE;GESTIÓN COMERCIAL EVENTOS EXTERNOS;13/04/2026;SERVICIOS PROFESIO;2.564.450,00
1000023553;HABLAME ENERO;PROMOCION DIVULGACION;abril;COP; HABLAME ENERO Y FEBRERO;SERVICIOS AL ESTUDIANTE;14/04/2026;SERVICIOS PROFESIO;2.405.093,00
1000023580;PROGRAMACION PARAME VARIADORES BOMBAS;MANTENIMIENTO MAQUINARIA Y EQUIPO;abril;COP; SERVICIO PROGRAMACION PARAMETROS VARIADORES DE VELOCIDAD BOMBAS AGUA POTABLE, PROVEEDOR: BOOMBEO, VALOR: $809.200, CASO:78335;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;10/04/2026;SRV MTTO INFRAESTR;809.200,00
1000023556;CABIFY INNOVA-TRANSFEREN MARZO 2026;TAXIS BUSES;abril;COP; SERVICIO DE TRANSPORTE CABIFY DEL MES DE MARZO PARA PAGO EN ABRIL POR VALOR DE $1.043.406. LAS ÁREAS SON:INNOVACIONTRANSFERENC;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;21/04/2026;TRANSPORTE ;1.043.406,00
1000023561;EASY TAXI PREGRADO MARZO 2026;TAXIS BUSES;abril;COP; SERVICIO DE TRANSPORTE EASY TAXI DEL MES DE MARZO PARA PAGO EN ABRIL POR VALOR DE $ 5.955.002. LAS ÁREAS SON: RECTORIA, DR-EAN;GESTIÓN DE INFRAESTRUCTURA Y PLANTA FÍSICA;21/04/2026;TRANSPORTE ;5.955.002,00
1000023555;Alimentos y refrigerios Taller CUBO;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; Alimentación de Taller en el Cubo, Colsubsidio asume bolos, y alquiler del sitio. CECO: 10500112 Cuenta mayor: 5111550002 CASI;DISEÑO ORGANIZACIONAL Y GESTIÓN DEL CAMBIO;10/04/2026;INSTITUCIONALES ;1.509.991,00
1000023558;Brunch y Lunch Taller;MONTAJE PARA EVENTO;abril;COP; Taller de Equipo Colsubsidio Proveedor Evento 15 de abril VALOR TOTAL: $1.329.600 CECO: 1050112 BIENESTAR COLABORADORES;DISEÑO ORGANIZACIONAL Y GESTIÓN DEL CAMBIO;27/04/2026;INSTITUCIONALES ;1.329.599,00
1000023570;PAUTA LA REPUBLICA;PROMOCION DIVULGACION;abril;COP; PAUTA EL REPUBLICA Posicionar Ean Transforma como un espacio clave de actualización y crecimiento profesional en el ámbito de;GESTIÓN DE COMUNICACIONES Y PUBLICIDAD;15/04/2026;INSTITUCIONALES ;5.355.000,00
1000023547;6 CRISPETAS LUNES A SABADO JORNADA;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; sOLICITUD ESTACIÓN MAQUINA DE MAIZ PARA LAS JORNADAS DE BIENVENIDA DE LOS ESTUDIANTES 2026. CON EL PROVEEDOR DE LA REGIONAL CA;DIRECCIÓN DE SERVICIOS DE APOYO ACADÉMICO;14/04/2026;ALIMENTACION Y REF;1.967.000,00
1000023548;Barra de sodas;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; SERVICIO DE ALIMENTOS Y BEBIDAS  ALEJANDRA AZCARATE . PROVEEDOR GRUPO PROMO;GESTIÓN COMERCIAL EVENTOS EXTERNOS;13/04/2026;ALIMENTACION Y REF;184.680,00
1000023557;REFRIGERIOS CURSO SED;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; formalmente informo la gestión del pedido correspondiente a la adquisición de 150 refrigerios destinados al Programa Plan de;FORMACIÓN A LA MEDIDA;13/04/2026;ALIMENTACION Y REF;720.000,00
1000023562;REFRIGERIO BRUNCH;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; REFRIGERIO BRUNCH SOSTENIBILIDAD;CONSULTORIA PRIVADA;13/04/2026;ALIMENTACION Y REF;4.010.300,00
1000023571;ESTACION DE CAFE;ALIMENTOS (DESAYU-REFRIG-ALMUERZO);abril;COP; SOLICITUD DE SERVICIO DE ALIMENTACIÓN EVENTO GRABACION TLC PROVEEDOR GRUPO PROMO.;GESTIÓN COMERCIAL EVENTOS EXTERNOS;17/04/2026;ALIMENTACION Y REF;421.200,00
1000023581;Obsequios eventos FHCS;OBSEQUIOS;abril;COP; Compra bonos alkosto (3) Valor: 450.000;EVALUACIÓN Y DESARROLLO INTEGRAL;07/05/2026;BONOS ;450.000,00
